Code,Subject,              Level,Year, Total,         1,        2,        3,        4,        5,        6,        7,        8,
 33,BUSINESS               ,G,   2024, 3218,         5.30,    14.80,    22.10,    22.40,    17.30,     9.90,     4.80,     3.40,
 34,ECONOMICS              ,A,   2024, 4264,        11.60,    23.70,    21.40,    18.40,    14.10,     7.00,     2.80,     0.80,
 34,ECONOMICS              ,G,   2024,  480,         5.40,    20.20,    25.40,    24.60,    13.50,     6.90,     2.70,     1.30,
 39,SWEDISH                ,A,   2024,   18,        11.10,    44.40,    11.10,    22.20,     5.60,     0.00,     0.00,     5.60,
 58,JAPANESE               ,A,   2024,  278,        33.10,    16.20,    18.70,    10.80,    13.70,     4.00,     2.90,     0.70,
 58,JAPANESE               ,G,   2024,   59,         1.70,    10.20,    23.70,    25.40,    16.90,    13.60,     8.50,     0.00,
 59,ARABIC                 ,A,   2024,  256,         8.20,    16.40,    21.10,    17.60,     8.60,    15.20,     2.30,    10.50,
 59,ARABIC                 ,G,   2024,   34,         5.90,     8.80,    20.60,    14.70,    14.70,    11.80,     2.90,    20.60,
 65,TECHNOLOGY             ,A,   2024, 2127,        17.40,    23.50,    23.00,    18.50,    10.50,     4.30,     1.90,     1.00,
 65,TECHNOLOGY             ,G,   2024,  169,         4.10,    17.20,    16.00,    20.10,    15.40,    13.60,     7.10,     6.50,
 67,MUSIC                  ,A,   2024, 6027,        20.60,    40.90,    24.80,    10.10,     2.70,     0.60,     0.10,     0.20,
 67,MUSIC                  ,G,   2024,  501,         6.20,    25.30,    30.70,    21.80,    11.20,     2.40,     2.00,     0.40,
 98,HOME ECONOMICS S & S   ,A,   2024, 8275,        13.90,    23.00,    23.10,    19.30,    12.90,     5.70,     1.60,     0.50,
 98,HOME ECONOMICS S & S   ,G,   2024, 1800,         3.70,    15.60,    25.40,    22.10,    17.80,     9.70,     3.70,     2.00,
 99,RUSSIAN                ,A,   2024,  833,        77.60,    11.60,     6.10,     3.00,     1.10,     0.50,     0.10,     0.00,
 99,RUSSIAN                ,G,   2024,   22,        45.50,    36.40,    13.60,     0.00,     0.00,     0.00,     4.50,     0.00,
219,COMPUTER SCIENCE       ,A,   2024, 2471,        17.00,    23.60,    22.50,    16.40,    10.00,     5.90,     2.90,     1.70,
219,COMPUTER SCIENCE       ,G,   2024,  349,        13.20,    22.60,    22.10,    13.50,    12.90,     7.70,     3.70,     4.30,
223,RELIGIOUS EDUCATION    ,A,   2024, 1154,        11.20,    24.40,    29.50,    19.70,    10.60,     3.50,     0.70,     0.50,
