Code,Subject,              Level,Year, Total,         1,        2,        3,        4,        5,        6,        7,        8,
 34,ECONOMICS              ,A,   2023, 4510,        13.90,    22.50,    21.50,    17.40,    13.50,     7.50,     3.10,     0.70,
 34,ECONOMICS              ,G,   2023,  577,         2.90,    21.50,    26.00,    22.20,    14.40,     7.80,     3.80,     1.40,
 39,SWEDISH                ,A,   2023,   13,         0.00,    46.20,    23.10,     7.70,    15.40,     0.00,     7.70,     0.00,
 58,JAPANESE               ,A,   2023,  256,        29.30,    16.00,    18.00,    14.50,    11.70,     6.60,     2.30,     1.60,
 58,JAPANESE               ,G,   2023,   56,         1.80,     1.80,    26.80,    23.20,    17.90,    16.10,     7.10,     5.40,
 59,ARABIC                 ,A,   2023,  229,        16.20,     9.60,    14.00,    17.00,    20.10,    11.80,     5.20,     6.10,
 59,ARABIC                 ,G,   2023,   22,         9.10,    13.60,    22.70,     9.10,     9.10,    13.60,    13.60,     9.10,
 65,TECHNOLOGY             ,A,   2023, 2127,        16.10,    23.90,    22.80,    18.90,    10.60,     4.70,     2.00,     1.10,
 65,TECHNOLOGY             ,G,   2023,  140,         2.90,    17.10,    24.30,    13.60,    20.70,    15.70,     2.10,     3.60,
 67,MUSIC                  ,A,   2023, 5869,        22.50,    43.00,    23.40,     8.00,     2.30,     0.60,     0.10,     0.00,
 67,MUSIC                  ,G,   2023,  416,         8.20,    28.60,    36.10,    16.80,     4.80,     3.10,     1.90,     0.50,
 98,HOME ECONOMICS S & S   ,A,   2023, 9105,        15.30,    23.80,    23.30,    19.30,    11.90,     4.80,     1.60,     0.20,
 98,HOME ECONOMICS S & S   ,G,   2023, 2227,         7.00,    22.90,    27.50,    21.60,    11.80,     5.80,     2.70,     0.70,
 99,RUSSIAN                ,A,   2023,  505,        82.80,    11.90,     2.00,     1.40,     1.20,     0.80,     0.00,     0.00,
 99,RUSSIAN                ,G,   2023,   16,        56.30,    25.00,    12.50,     6.30,     0.00,     0.00,     0.00,     0.00,
219,COMPUTER SCIENCE       ,A,   2023, 1986,        24.60,    22.30,    18.90,    15.80,    10.20,     5.20,     2.10,     1.00,
219,COMPUTER SCIENCE       ,G,   2023,  230,        11.70,    20.40,    22.60,    18.70,    13.00,     7.80,     3.00,     2.60,
223,RELIGIOUS EDUCATION    ,A,   2023,  918,        10.30,    29.80,    27.60,    17.60,     8.60,     4.10,     1.30,     0.50,
223,RELIGIOUS EDUCATION    ,G,   2023,   95,         1.10,     6.30,     6.30,    16.80,    31.60,    17.90,     7.40,    12.60,
225,PHYSICAL EDUCATION     ,A,   2023, 6508,         8.60,    26.30,    27.30,    20.40,    11.20,     4.10,     1.40,     0.60,
225,PHYSICAL EDUCATION     ,G,   2023,  647,         1.40,    10.50,    26.00,    23.60,    15.90,     8.80,     8.30,     5.40,
547,CZECH                  ,A,   2023,   15,        46.70,    13.30,    13.30,     0.00,     0.00,    13.30,     0.00,    13.30,
548,POLISH                 ,A,   2023,  916,        49.00,    31.20,    11.50,     4.30,     1.70,     0.80,     1.20,     0.30,
