Code,Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
99,RUSSIAN                ,G,2025,27,14.8,18.5,22.2,22.2,18.5,0,0,3.7
219,COMPUTER SCIENCE       ,A,2025,3083,10.8,19.9,20.3,20.5,14.2,9.1,3.3,1.9
219,COMPUTER SCIENCE       ,G,2025,432,8.1,19.7,19.9,20.8,14.4,8.6,4.4,4.2
223,RELIGIOUS EDUCATION    ,A,2025,1188,6.8,24,27.7,20.8,12.5,5.6,1.3,1.3
223,RELIGIOUS EDUCATION    ,G,2025,159,1.9,6.9,11.9,24.5,19.5,19.5,10.1,5.7
225,PHYSICAL EDUCATION     ,A,2025,8899,7.7,28.5,29.3,19.7,9,3.9,1.2,0.6
225,PHYSICAL EDUCATION     ,G,2025,637,1.4,15.1,26.7,23.7,13,9.1,7.2,3.8
547,CZECH                  ,A,2025,18,22.2,11.1,11.1,16.7,11.1,11.1,0,16.7
548,POLISH                 ,A,2025,1336,35.3,32.5,19.5,7.7,2.4,1.3,1,0.3
548,POLISH                 ,G,2025,49,22.4,26.5,32.7,10.2,2,2,4.1,0
549,LATVIAN                ,A,2025,95,28.4,13.7,14.7,12.6,14.7,6.3,4.2,5.3
550,LITHUANIAN             ,A,2025,314,48.4,26.1,11.5,8,2.5,1.6,1.6,0.3
550,LITHUANIAN             ,G,2025,19,10.5,31.6,31.6,15.8,5.3,5.3,0,0
551,HUNGARIAN              ,A,2025,61,32.8,14.8,19.7,14.8,8.2,4.9,3.3,1.6
553,ROMANIAN               ,A,2025,417,18.5,21.8,20.9,21.1,9.1,4.8,1.7,2.2
554,SLOVAKIAN              ,A,2025,29,17.2,13.8,13.8,20.7,20.7,6.9,3.4,3.4
559,BULGARIAN              ,A,2025,37,2.7,18.9,24.3,21.6,16.2,10.8,2.7,2.7
562,DESIGN & COMMUNICATION ,A,2025,5343,15.7,22.7,21.3,18.1,13.3,6.2,1.7,0.9
562,DESIGN & COMMUNICATION ,G,2025,868,8.4,18.9,24.2,18.9,12.8,7.6,5.2,4
566,MANDARIN CHINESE       ,A,2025,429,89.5,2.6,3.5,0.9,0.9,1.4,0.5,0.7
567,CROATIAN               ,A,2025,118,24.6,36.4,19.5,11.9,2.5,0.8,0,4.2
568,POLITICS AND SOCIETY   ,A,2025,2800,10.4,25,27.5,19.3,9.9,5,2.1,0.8
568,POLITICS AND SOCIETY   ,G,2025,349,0.9,5.2,20.1,28.1,18.9,16.6,6.3,4
570,UKRAINIAN              ,A,2025,549,34.8,27.7,20.4,7.8,2.9,3.8,1.1,1.5
1,IRISH                  ,A,2024,23647,14.5,19.8,23.6,22.4,14.1,4.6,0.9,0.2
1,IRISH                  ,B,2024,2081,3.8,11,22.2,26.2,19.8,10.7,5.2,1.1
1,IRISH                  ,G,2024,21414,1.5,9.7,22.4,25.8,20.1,12.1,5.9,2.5
2,ENGLISH                ,A,2024,42727,7,17.6,29.4,28.2,13.5,3.6,0.5,0.2
2,ENGLISH                ,G,2024,13246,4.1,15.7,30.2,25.2,13.8,7.7,1.4,1.9
3,MATHEMATICS            ,A,2024,20329,12.9,15.8,20.5,22.4,17.3,7.8,2.5,0.8
3,MATHEMATICS            ,B,2024,3332,11.6,20.8,26.6,20,12,5.9,2.3,0.9
3,MATHEMATICS            ,G,2024,32361,9.8,19.3,23.8,21.2,13.7,7.3,3.5,1.5
4,HISTORY                ,A,2024,9572,14.7,19.1,23.1,19.4,14.1,6.8,2.3,0.5
4,HISTORY                ,G,2024,2839,5.2,11.8,20.3,26.8,22.2,8.6,4.3,0.7
5,GEOGRAPHY              ,A,2024,15686,11.6,19.6,24.7,23.1,14.6,5.2,1,0.2
5,GEOGRAPHY              ,G,2024,2964,4.8,12,23.9,28.8,19.4,8.1,2.7,0.4
6,LATIN                  ,A,2024,61,34.4,24.6,8.2,11.5,13.1,6.6,0,1.6
7,ANCIENT GREEK          ,A,2024,17,29.4,5.9,52.9,5.9,5.9,0,0,0
8,CLASSICAL STUDIES      ,A,2024,628,17.2,25.6,20.4,17.4,10.7,5.7,1.8,1.3
8,CLASSICAL STUDIES      ,G,2024,50,8,14,16,14,20,12,10,6
10,FRENCH                 ,A,2024,13317,16.6,18.3,21.5,20.7,14.3,6.5,1.8,0.2
10,FRENCH                 ,G,2024,4633,1.7,13.4,26,26.1,19.1,9.3,3.2,1
11,GERMAN                 ,A,2024,5484,16.1,16.5,17.7,19.2,17.1,9.6,3.1,0.7
11,GERMAN                 ,G,2024,1549,2.3,13.6,25.5,27.4,17.6,8.1,3.6,1.8
12,SPANISH                ,A,2024,7977,15.9,16.6,19,21,16.5,8.2,2.3,0.5
12,SPANISH                ,G,2024,2331,3.1,15.2,26.9,26.3,15.2,8.4,3.5,1.3
13,ITALIAN                ,A,2024,457,45.1,18.6,13.3,9.4,8.1,3.5,1.5,0.4
13,ITALIAN                ,G,2024,62,3.2,22.6,21,37.1,8.1,4.8,0,3.2
14,ART                    ,A,2024,8450,15,24.9,25.9,20.1,9.7,3.1,0.6,0.7
14,ART                    ,G,2024,1408,8.5,27.6,33,13.4,6.7,4,2,4.8
17,DUTCH                  ,A,2024,34,23.5,35.3,11.8,11.8,2.9,2.9,2.9,8.8
18,PORTUGUESE             ,A,2024,276,69.6,18.8,3.6,4,1.1,2.2,0.7,0
19,MODERN GREEK           ,A,2024,12,41.7,16.7,8.3,25,0,8.3,0,0
20,APPLIED MATHEMATICS    ,A,2024,1710,28.8,24.7,19.4,13.2,8.2,3.5,1.6,0.6
20,APPLIED MATHEMATICS    ,G,2024,33,21.2,9.1,18.2,18.2,15.2,9.1,6.1,3
21,PHYSICS                ,A,2024,6009,21.2,16.6,14,14,13.6,11.5,5.8,3.3
21,PHYSICS                ,G,2024,1301,9.7,18,20.5,17.4,12.1,7.8,6.5,7.9
22,CHEMISTRY              ,A,2024,7937,22.4,16.4,13.6,13,11.7,10.8,6.8,5.3
22,CHEMISTRY              ,G,2024,1478,5.8,10.7,15,17.3,18.3,13.3,11.2,8.3
23,PHYSICS & CHEMISTRY    ,A,2024,309,8.1,11.7,15.2,16.5,16.8,14.6,6.8,10.4
23,PHYSICS & CHEMISTRY    ,G,2024,67,3,3,13.4,16.4,17.9,13.4,11.9,20.9
24,AGRICULTURAL SCIENCE   ,A,2024,5501,14.2,24.2,25.5,18.7,11.5,4.4,1.2,0.3
24,AGRICULTURAL SCIENCE   ,G,2024,916,0.7,7.8,23.1,31.1,21,11.7,3.9,0.8
25,BIOLOGY                ,A,2024,28459,19.5,16,15.2,15,13.7,12,6.1,2.5
25,BIOLOGY                ,G,2024,4750,3.3,14.8,29.1,26,14.9,7.4,3.1,1.5
27,ENGINEERING            ,A,2024,5560,14.2,22,25.4,21.9,10.6,4.5,1,0.4
27,ENGINEERING            ,G,2024,776,2.4,15.6,23.8,23.5,16.6,8.9,5.9,3.2
29,CONSTRUCTION STUDIES   ,A,2024,9516,8.4,23.3,28.6,21.4,11.8,4.5,1.5,0.5
