Code,Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
223,RELIGIOUS EDUCATION,G,2022,64,1.6,7.8,17.2,23.4,21.9,12.5,6.3,9.4
225,PHYSICAL EDUCATION,A,2022,4490,5.5,23.2,27.6,21.4,13.9,5.6,2,0.9
225,PHYSICAL EDUCATION,G,2022,406,1,7.4,20.9,23.6,23.9,9.4,9.4,4.4
547,CZECH,A,2022,13,38.5,7.7,30.8,15.4,0,7.7,0,0
548,POLISH,A,2022,789,36.9,36,19.1,4.4,1.8,0.8,0.6,0.4
548,POLISH,G,2022,29,24.1,34.5,31,3.4,6.9,0,0,0
549,LATVIAN,A,2022,68,2.9,7.4,11.8,22.1,13.2,20.6,8.8,13.2
550,LITHUANIAN,A,2022,174,40.8,26.4,17.8,7.5,1.7,1.7,1.7,2.3
550,LITHUANIAN,G,2022,12,25,33.3,8.3,16.7,16.7,0,0,0
551,HUNGARIAN,A,2022,49,28.6,20.4,30.6,12.2,4.1,0,2,2
553,ROMANIAN,A,2022,379,19.5,20.8,27.2,16.9,9.2,4.2,1.1,1.1
554,SLOVAKIAN,A,2022,24,41.7,12.5,12.5,4.2,12.5,8.3,4.2,4.2
559,BULGARIAN,A,2022,31,6.5,45.2,9.7,12.9,12.9,0,9.7,3.2
562,DESIGN & COMMUNICATION GRAPHIC,A,2022,5035,19.6,21.1,20.4,18.2,12.4,5.4,1.9,1
562,DESIGN & COMMUNICATION GRAPHIC,G,2022,735,6.9,20.7,26.9,20,11.3,6.1,4.5,3.5
566,MANDARIN CHINESE,A,2022,280,86.8,5.7,3.9,2.1,0.4,0.7,0.4,0
567,CROATIAN,A,2022,92,20.7,18.5,23.9,17.4,13,3.3,1.1,2.2
568,POLITICS AND SOCIETY,A,2022,2135,8.6,24.2,24.5,20,11.7,6.5,3.1,1.5
568,POLITICS AND SOCIETY,G,2022,253,2,12.3,23.3,23.3,20.2,11.9,5.1,2
                            A,,,,,,,,,,,,
,,,,,,,,,,,,
